beta2,pc1_pct_rownorm,pc2_pct_rownorm,pc1_pct_raw,drift_magnitude,best_pood,mean_update_cos,mean_update_cos_early,gamma_a_0_2k,gamma_r_0_2k,gamma_a_2k_4k,gamma_r_2k_4k,gamma_a_full,gamma_r_full,R2_a_full,R2_r_full,corr_pood_r_full,corr_pood_r_0_2k,corr_pood_r_2k_4k
0.99,68.7539707645158,14.803525799184921,83.14842420021994,120.01029591034013,0.951,0.24276815805276272,0.3676091376969051,1.9749820587027156,0.7777452313424721,-0.007265095850780069,0.3580603971422713,1.3206273437293818,0.5533209732611024,0.843241194526033,0.8330132979086156,0.33187870011612514,0.8616860640914311,-0.9296502811479842
0.95,68.34371272457395,14.70496766487045,82.49703740464899,123.07466178210761,0.939,0.24427534590351052,0.36345377585887867,1.9412749433949623,0.7838523119767502,-0.02529383198130957,0.350619430595163,1.3053005205301982,0.5721980128037506,0.846544631044752,0.8645212393188219,0.42168499471322796,0.8509187586023035,-0.7719487991767969
0.9,66.6623757905187,14.968423982701529,80.82742069486046,127.9685564846813,0.814,0.2339884115598283,0.34341069923796397,1.9332938875352965,0.8410403026294989,-0.030536580062056687,0.3153840507228711,1.3052026117946585,0.5950512982805852,0.8495162395280073,0.8629399775500959,0.14012616137605616,0.40367109993943723,-0.8772169424775956
0.8,63.849848296218184,16.143971470595105,78.98118850449478,141.3436315249544,0.6815,0.2268804320648616,0.32810159903608843,1.9841050217897178,0.91181348772112,-0.05048302495928224,0.21114609903524,1.3470385194129681,0.6162855481026736,0.8549060339067335,0.8382988198284916,0.11619301859984268,0.38907302199339977,-0.7500503316729784
0.0,52.47771426752963,29.883357059847064,81.26924677352105,161931.4538640436,0.005,0.2377812872090452,0.2689904029748081,2.4524176203076338,1.0837042325555826,-0.35498286312854155,-0.4421582957717263,1.8372211252347896,0.558054050232914,0.7951976226656311,0.5009922904532356,-0.6287567232616357,-0.5699524093610028,
