step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,update_cos_vb,update_abs_cos_vb,probe_ood_acc,probe_in_acc,val_loss,train_loss
1,0.0,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,10.803781223297118,32.42486763000488
200,1.0115795627245494,5.5726038467374615,5.663674323680501,0.03190094501293832,0.0050833143855505,0.028003034405715888,None,None,0.0,0.018,4.297458732128144,20.305857866852726
400,4.553488251223381,13.071119546630577,13.841546931519295,0.10822290353613108,0.01770954344249416,0.05510728868417477,0.3059541618065932,0.3059541618065932,0.1155,0.128,3.1810184597969053,11.834408423900605
600,11.551878974955624,21.986754655568376,24.836732638131707,0.21632979368057376,0.03499195361866121,0.08501970514444956,0.38059951037889495,0.38059951037889495,0.548,0.644,2.828137183189392,9.844117213487625
650,15.097648668657843,25.048598883006694,29.246731463981614,0.26647959192552617,0.07091539387404439,0.24996842525278556,None,None,,,,
700,18.485467776744215,27.667712120846428,33.27483753423126,0.30862350732189053,0.06775638216172744,0.24627490763612958,None,None,,,,
750,21.64148918653418,29.690539595781008,36.740742993333065,0.346959205552939,0.06312042819579929,0.2299886336403703,None,None,,,,
800,24.774522153105572,31.272876233922933,39.89698905756753,0.38559405552665427,0.06266065933142784,0.22931904703588693,0.4735991617708636,0.4735991617708636,0.944,0.9455,2.371728765964508,3.7712571769952774
850,27.57961223320084,32.11843618170622,42.33472515199173,0.4244072775220331,0.05610180160190538,0.1989937933595488,0.474321173219172,0.474321173219172,,,,
900,30.54607273445695,32.98475819519855,44.956165680550605,0.46167061925396474,0.05932921002512217,0.21734109320764605,0.46643880990876413,0.46643880990876413,,,,
950,33.843088444347345,33.47388173868217,47.60100202842595,0.505484435780462,0.06594031419780791,0.22093685398587,0.4645455455509529,0.4645455455509529,,,,
1000,37.172159844720184,33.925518931023326,50.3260400018107,0.5455694898411159,0.0665814280074568,0.21215830140759467,0.4646167632482291,0.4646167632482291,0.951,0.9945,1.8913264632225038,2.3450101110339165
1050,40.72632387272956,34.42591809671774,53.327078421677406,0.5832501230929843,0.07108328056018749,0.2305896277535561,0.4710551330725679,0.4710551330725679,,,,
1100,44.57729287077268,35.2081869391048,56.80450217393841,0.6158314514979135,0.07701937996086244,0.2596324759788068,0.4740086425233791,0.4740086425233791,,,,
1150,48.51701613596445,36.29911000552764,60.59312041754283,0.6411232549156343,0.07879446530383533,0.2952395266446468,0.4742307880667343,0.4742307880667343,,,,
1200,52.53116622533344,37.28149452720467,64.4160947215859,0.6650362236549684,0.08028300178737993,0.3177148112103026,0.4705059103978706,0.4705059103978706,0.8395,0.9935,1.7046659588813782,1.9834056475758552
1250,56.67974125874199,38.264902965992896,68.38710308354396,0.686921807092337,0.08297150066817097,0.3618705321807863,0.46188361744789863,0.46188361744789863,,,,
1300,61.294735931474165,39.95667093539191,73.1681638771486,0.7017817066218,0.09229989345464347,0.43915482497089253,0.4412951870847476,0.4412951870847476,,,,
1350,65.76044901998617,42.0638963095029,78.06284665608709,0.7096443858098944,0.08931426177024009,0.49471019739776884,0.4070607068471528,0.4070607068471528,,,,
1400,69.92220196064639,43.04127356163764,82.10764615331011,0.725208672220033,0.08323505881320444,0.4597457121511281,0.3867435127447676,0.3867435127447676,0.8875,0.985,1.75806565284729,2.0186130636930466
1450,73.67659316292962,42.9279356976823,85.27044061903655,0.74655542745994,0.07508782404566461,0.424984535485076,0.37446539539699586,0.37446539539699586,,,,
1500,76.81140589540675,42.049660558114155,87.56806511901321,0.7694137103391068,0.0626962546495426,0.3789993321159156,0.35673445866114134,0.35673445866114134,,,,
1550,79.94015228512174,41.64475281621798,90.1371920158117,0.7865419547677268,0.06257492779429981,0.40893396244648483,0.33704724313705087,0.33704724313705087,,,,
1600,83.30202876803054,41.979988040252856,93.28208505781438,0.797470574333107,0.06723752965817596,0.4526525064143111,0.31409183054736,0.31409183054736,0.628,0.872,1.7012058258056642,1.8620143994688987
1650,86.35356733662216,41.88958230516019,95.97747494837365,0.8095094569831722,0.061030771371832486,0.42655734714136395,0.2968947951697577,0.2968947951697577,,,,
1700,89.47618705858972,42.15137879185894,98.90766797678059,0.8183800106880877,0.06245239443935105,0.46829057573817295,0.2869061958624043,0.2869061958624043,,,,
1750,92.22296681850204,42.64324804702663,101.60473518893474,0.8238540522778195,0.054935595198246576,0.4596800151377304,0.27196536886854955,0.27196536886854955,,,,
1800,94.82910018461783,42.95524293114421,104.10432813818242,0.8297469943666161,0.05212266732231569,0.4700315244628803,0.25367675592324174,0.25367675592324174,0.721,0.9755,1.5658828973770142,1.7992917007207871
1850,97.00242804778722,43.385810164877576,106.26287955271677,0.8333012809994617,0.043466557263387814,0.4513640683174694,0.23259199492831042,0.23259199492831042,,,,
1900,98.96363103664922,43.60369634203963,108.14380519778084,0.8374289092865569,0.03922405977723997,0.43382712355879505,0.21220450813840247,0.21220450813840247,,,,
1950,100.97175317877534,44.07632645842049,110.17267126684315,0.8399472932853188,0.040162442842522524,0.4617226970246287,0.19544704720821585,0.19544704720821585,,,,
2000,102.44505186429456,44.20866582619655,111.57685595865591,0.8430119561797214,0.02946597371038422,0.4001664397452245,0.1765624999064214,0.1765624999064214,0.654,0.946,1.5054409742355346,1.7684957721829415
2100,104.73449955073643,44.24856814793737,113.69807025315757,0.8485419865373124,0.02289447686441875,0.2680490358810434,0.14381961357600187,0.14381961357600187,,,,
2200,106.7990703523526,44.863448274520536,115.83941651793407,0.8500064515444375,0.020645708016161706,0.2622146327361013,0.11692230103526587,0.11692230103526587,0.696,0.9275,1.4833599388599397,1.6564063358306884
2300,108.29600908228451,45.36421202576042,117.41353122989494,0.8507238437568022,0.014969387299319124,0.24171649213204577,0.10155857901755522,0.10155857901755522,,,,
2400,109.33616201947869,46.054476326004,118.6398378067759,0.849310633105738,0.010401529371941791,0.2243329513958779,0.0780634959659778,0.0780634959659778,0.733,0.943,1.3785956382751465,1.5492451608181
2500,110.31026308298506,47.34160938230101,120.0399188618208,0.8444626665648015,0.009741010635063673,0.2279085018803252,0.06414237037052439,0.06414237037052439,,,,
2600,110.61253143168595,48.22987445103825,120.67001657121267,0.8402527031390705,0.0030226834870089193,0.1927792906647226,0.044040701499521384,0.044040701499521384,0.546,0.9705,1.3250624597072602,1.4805601388216019
2700,110.76362387397732,49.28431660593914,121.23334622544368,0.8347378902628608,0.0015109244229137176,0.1806178320776872,0.017492475060513355,0.017492475060513355,,,,
2800,110.7907983769957,50.405832194205516,121.71831794849338,0.8285056982325643,0.0002717450301837232,0.17168932852349275,0.007328335920589408,0.007328335920589408,0.4945,0.975,1.2845359325408936,1.425796690285206
2900,110.54715111437233,51.25733796925243,121.8523176439668,0.8230524690028785,-0.0024364726262336945,0.14719072732249439,-0.009864708373088425,0.009864708373088425,,,,
3000,110.17914682491579,51.971802074438024,121.82164260071355,0.8179936042243415,-0.0036800428945653607,0.12848291666698064,-0.032068406658969394,0.032068406658969394,0.5845,0.9855,1.2399354308843613,1.381626208424568
3100,109.74944032781502,52.572902659317656,121.69161740359543,0.813360919896941,-0.004297064971007672,0.1105824031308299,-0.048127563490760396,0.048127563490760396,,,,
3200,109.3236093579444,53.12601206346603,121.54844598275056,0.8089638259643956,-0.004258309698706171,0.09240314195463124,-0.06046284563455581,0.06046284563455581,0.3865,0.987,1.2087091207504272,1.3188359299302101
3300,108.9136414989757,53.521599323114174,121.35379227152225,0.8054857334156913,-0.0040996785896871306,0.07545561919610778,-0.07191744059280963,0.07191744059280963,,,,
3400,108.54895974283274,53.77596668773259,121.13930515922614,0.8029364529363994,-0.003646817561429572,0.05952163497652371,-0.08258865355331327,0.08258865355331327,0.2965,0.987,1.1822203814983367,1.2694313144683838
3500,108.24534992231733,53.934230172033786,120.93782271920219,0.8011137875351344,-0.0030360982051540475,0.04480528713233725,-0.09106535202529228,0.09106535202529228,,,,
3600,107.96887508083202,54.072226998826594,120.75215823678536,0.7994795319059032,-0.002764748414853102,0.03948704157198602,-0.09760373968971044,0.09760373968971044,0.278,0.9815,1.1691412895917892,1.240466260910034
3700,107.6837355682587,54.219994716838585,120.56365427870556,0.7977511150321744,-0.0028513951257332338,0.038819447873947935,-0.10191598886438993,0.10191598886438993,,,,
3800,107.39937070754468,54.370290555597734,120.37754493045347,0.7959989774778574,-0.00284364860714021,0.03904484182919688,-0.10432943088073025,0.10432943088073025,0.2815,0.976,1.1626437842845916,1.2365144336223601
3900,107.11652860406878,54.519708990993536,120.19296721794485,0.7942456884701083,-0.002828421034759003,0.03843528422102566,-0.10476419789705263,0.10476419789705263,,,,
4000,106.8293905991991,54.68045746593079,120.01029591034013,0.7924000400453802,-0.00287138004869675,0.03816391309991197,-0.1065805105567879,0.1065805105567879,0.2605,0.9815,1.1555452913045883,1.2318382528424263
