step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,update_cos_vb,update_abs_cos_vb,probe_ood_acc,probe_in_acc,val_loss,train_loss
1,0.0,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,10.803781223297118,32.42486763000488
200,1.154555772465745,6.1462289498918015,6.253729234355486,0.03408408866022464,0.005801787801335402,0.030885572612521617,None,None,0.0,0.018,4.207619762420654,20.630604406098026
400,5.312590616513939,14.168736664886321,15.131976663302886,0.12325977652834735,0.02079017422024097,0.06043346942286524,0.32530602268264924,0.32530602268264924,0.0745,0.124,3.080394184589386,11.804084298610688
600,12.493480037163488,23.56492162821989,26.67194358844346,0.2194105603170678,0.03590444710324775,0.08895091693880472,0.3743013619222198,0.3743013619222198,0.109,0.144,2.7216596245765685,10.314822595119477
650,15.24439835132765,25.70480867478888,29.885261753978565,0.26019949513774965,0.055018366283283236,0.2347917608745341,None,None,,,,
700,18.681182074461077,27.73484921606192,33.4396235735293,0.3120943788100304,0.06873567446266854,0.25501306807372787,None,None,,,,
750,22.49935342814979,29.507866823628742,37.107076268122135,0.36764325443817697,0.07636342707377423,0.2580170636169525,None,None,,,,
800,26.303053243042648,31.322803784051015,40.901939401486786,0.41354666821072084,0.07607399629785717,0.2660223967182173,0.4727662567826596,0.4727662567826596,0.814,0.938,2.5289647459983824,6.066884012818337
850,29.810135941467472,32.864116313711285,44.36997121852086,0.4513875943641778,0.07014165396849649,0.26703198814299967,0.4806770989016313,0.4806770989016313,,,,
900,33.334264224826015,34.24622456323985,47.790972664817936,0.48650802447075736,0.07048256566717086,0.27050007581432206,0.48210021429293937,0.48210021429293937,,,,
950,36.64569204338374,35.54690242873796,51.05378553662899,0.5152167288104205,0.06622855637115449,0.28249349616388725,0.46985402576778684,0.46985402576778684,,,,
1000,40.06242068641799,36.702438491655634,54.332923191127996,0.5436861019738785,0.06833457286068495,0.2930609995121108,0.4539758603976847,0.4539758603976847,0.339,0.773,2.278264957666397,2.814531862139702
1050,43.65768590627853,38.17394631990084,57.99347994671396,0.5667128818042232,0.07190530439721086,0.3253760524712183,0.43773323966785416,0.43773323966785416,,,,
1100,47.228237271451455,39.53032137260359,61.58857608026071,0.5880349593242273,0.0714110273034585,0.34806072453404424,0.4202910810908358,0.4202910810908358,,,,
1150,50.94697117274531,41.09031086002799,65.45233012089547,0.6058798591310586,0.07437467802587705,0.38421098135050186,0.40491431253463434,0.40491431253463434,,,,
1200,54.654580891228576,42.64919265161643,69.32587429117102,0.6215304723510104,0.07415219436966539,0.41788619966274304,0.3858149368764232,0.3858149368764232,0.235,0.648,2.2715947210788725,2.815287747979164
1250,58.55496667654348,43.874722890171235,73.1688146083034,0.6404355599369359,0.07800771570629805,0.4341232376394039,0.3716986515111833,0.3716986515111833,,,,
1300,62.56015585257485,44.70241260319626,76.890043522219,0.6619960994147384,0.08010378352062744,0.4320227819024215,0.36656441950088947,0.36656441950088947,,,,
1350,66.50790522955859,46.0895063852071,80.91689599125553,0.6755665054883879,0.07895498753967473,0.465654207546536,0.3520087315959191,0.3520087315959191,,,,
1400,70.62339902799445,46.96063708449437,84.81135493348032,0.6934086080513009,0.08230987596871728,0.4963558994884953,0.3448124088338756,0.3448124088338756,0.277,0.8085,2.1958212673664095,2.8345497107505797
1450,74.72876996091658,47.091690599390205,88.3290234486043,0.7157622831662633,0.08210741865844255,0.4746982890906761,0.3436668496749574,0.3436668496749574,,,,
1500,78.80703444224152,47.73437529199878,92.13641659031006,0.7315892833907469,0.08156528962649873,0.5121256476358963,0.33319144980575205,0.33319144980575205,,,,
1550,82.78584657810396,48.47339767566138,95.93313648516235,0.7446889353438179,0.07957624271724882,0.5243301626154875,0.3193234617065281,0.3193234617065281,,,,
1600,86.47274081949874,49.26857029959147,99.52349935673195,0.7549308502781341,0.07373788482789564,0.5339409426097569,0.3022798882415252,0.3022798882415252,0.1655,0.6905,2.1525904536247253,2.6561124861240386
1650,90.03858385743169,49.38875429763215,102.69467188773287,0.7687081545136932,0.071316860758659,0.5231445343026153,0.2888032516568696,0.2888032516568696,,,,
1700,93.06898253245276,49.91292919936217,105.60840880768629,0.7766278023658495,0.060607973500421505,0.5189564926008368,0.2674662757348315,0.2674662757348315,,,,
1750,96.12737386893534,49.674614834318334,108.20369386430653,0.7892416243377649,0.06116782672965144,0.5132446933745455,0.25449573491545635,0.25449573491545635,,,,
1800,98.73741469269052,50.035931431957444,110.69178602980334,0.7956695047768291,0.05220081647510369,0.5163483360757539,0.2346079022377036,0.2346079022377036,0.24,0.85,2.0886754214763643,2.5897358644008635
1850,101.36783056189185,49.89962685642698,112.9841131895968,0.8049437665579988,0.052608317384026576,0.4999810963014501,0.22079836757593463,0.22079836757593463,,,,
1900,103.5303220032832,50.31077821240861,115.10734980204134,0.8089636726574735,0.04324982882782706,0.4863420591448257,0.20550956713483767,0.20550956713483767,,,,
1950,105.5435199766022,50.811501586604386,117.1377108472929,0.8118385749333743,0.0402639594663799,0.501202231325406,0.18689273521099198,0.18689273521099198,,,,
2000,107.3345191471362,51.38881778883238,119.0021411332029,0.8135219570938123,0.03581998341068015,0.4789219435322732,0.1722347731704534,0.1722347731704534,0.218,0.726,1.9576067924499512,2.4777620372176172
2100,110.58862368345629,51.66641692112337,122.06253448817493,0.8208355166097454,0.03254104536320085,0.33436131342863296,0.14658313524694164,0.14658313524694164,,,,
2200,112.85231239329093,52.528904145589884,124.47863344066202,0.8219233169747533,0.02263688709834639,0.31416685751271617,0.1204194645697125,0.1204194645697125,0.215,0.7965,1.8214646637439729,2.3295814153552055
