step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,update_cos_vb,update_abs_cos_vb,probe_ood_acc,probe_in_acc,val_loss,train_loss
1,0.0,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,10.803781175613404,32.42486763000488
200,1.1634599840573425,6.506539864667391,6.609742819918139,0.030983735611172594,0.005846532583202726,0.032696180224459255,None,None,0.0005,0.022,4.156946539878845,20.61556217778268
400,5.381456790784167,15.144321269181024,16.072042306330744,0.11211341493935463,0.021089984033634122,0.06510735329951556,0.3081620621444497,0.3081620621444497,0.086,0.1275,3.0550748348236083,11.917220482826233
600,13.01583008031983,25.718550290251255,28.82456698224807,0.20390043720741055,0.03817186644767832,0.09988788694852949,0.3569697067087777,0.3569697067087777,0.1385,0.1545,2.7558699369430544,10.447930862903595
650,16.185409157005466,28.28970276466745,32.59255669773798,0.24660989924025142,0.06339158153371273,0.27250856942270185,None,None,,,,
700,19.57715920585192,30.433463205871096,36.18647323623868,0.29268928807885985,0.06783500097692909,0.26656889275833895,None,None,,,,
750,23.113992955113893,32.35938671914445,39.76665159616422,0.3378406503292967,0.07073667498523946,0.2714835284986197,None,None,,,,
800,26.79927768351832,34.52743095058953,43.70749103310094,0.3759537517684837,0.07370569456808852,0.2904236093757554,0.4450431611878395,0.4450431611878395,0.6815,0.864,2.6051190733909606,5.602408890128135
850,30.346376020518477,36.63552699877809,47.57167619560922,0.40692723871250874,0.07094196674000315,0.3082331521481303,0.4458279770237115,0.4458279770237115,,,,
900,33.87425547073914,38.69089078554452,51.424218161088405,0.4339144589858696,0.07055758900441333,0.3277796707967269,0.43934837570076285,0.43934837570076285,,,,
950,37.48873215831525,40.78982426881079,55.40049460719265,0.457903773170805,0.07228953375152215,0.3553969123379872,0.4271450678002397,0.4271450678002397,,,,
1000,41.239257134117935,42.81462914820193,59.4455111684263,0.4812641760547809,0.07501049951605367,0.38058460310475334,0.4099232678031898,0.4099232678031898,0.232,0.709,2.4837745666503905,3.2907439601421355
1050,45.02115671481643,44.64327408295512,63.40289009809139,0.504214334679851,0.07563799161396986,0.3943749024619843,0.39647668891393006,0.39647668891393006,,,,
1100,49.03939814065353,46.50860795137413,67.58633873481092,0.5264685368023051,0.08036482851674208,0.4249064131474063,0.3859777960606292,0.3859777960606292,,,,
1150,53.11529487869913,48.09310970898817,71.65320475412061,0.5495003267477173,0.081517934760912,0.43567200804756134,0.3778978690006528,0.3778978690006528,,,,
1200,57.47423136607034,49.85581899970121,76.08475510413679,0.5706253347999141,0.0871787297474242,0.4742725559284605,0.3698707055496838,0.3698707055496838,0.1705,0.721,2.388436508178711,3.1847959995269775
1250,61.86318682323876,51.375810265365985,80.41472355454499,0.5918251685275683,0.08777910914336844,0.4917069726691941,0.36254570360391003,0.36254570360391003,,,,
1300,66.27647407050566,52.7430830982031,84.70185257672141,0.612255891826777,0.08826574494533787,0.5039053714126063,0.35434542521796264,0.35434542521796264,,,,
1350,70.92384369855598,54.19112481817724,89.25732246735451,0.6313887196185156,0.09294739256100655,0.5441897876970019,0.3464341498544732,0.3464341498544732,,,,
1400,75.63018290747094,55.50654279697424,93.81311667296265,0.649924894925565,0.09412678417829909,0.5669096766791047,0.33711902502825736,0.33711902502825736,0.203,0.7765,2.40034362077713,3.1353311693668364
1450,80.27032855137381,56.55361484634908,98.19183773584214,0.6682812936351837,0.09280291287805738,0.57280128111805,0.3290683287191703,0.3290683287191703,,,,
1500,85.15151250596503,57.41538226197083,102.70007888188714,0.6874532646488316,0.09762367909182444,0.6129372814574682,0.32345151675879197,0.32345151675879197,,,,
1550,89.82447009358506,58.13740113694967,106.99716275937317,0.7047657729232137,0.09345915175240066,0.6138470487780553,0.31428016435149275,0.31428016435149275,,,,
1600,94.25594833781676,58.616657970525736,110.9959296041914,0.7211131728815661,0.08862956488463397,0.6186266514690285,0.3028794470387999,0.3028794470387999,0.2275,0.857,2.2534654796123506,3.0291574519872664
1650,98.44979951107564,58.9084105892924,114.72821737450417,0.7363582904849609,0.08387702346517756,0.6180367737919993,0.29023576731916634,0.29023576731916634,,,,
1700,102.34152230896186,59.37569057934472,118.31846779052789,0.7481672119071109,0.07783445595772434,0.6225847147663868,0.2721997554806062,0.2721997554806062,,,,
1750,105.91378477480272,59.61516829163996,121.53887483341077,0.7594069234690352,0.0714452493168173,0.6164563385445845,0.2545051077464959,0.2545051077464959,,,,
1800,109.2187947119236,59.66613041605532,124.45397638146686,0.7701533428608722,0.06610019874241743,0.6052774647639783,0.2384027639720673,0.2384027639720673,0.207,0.812,2.1194320917129517,2.9142503935098647
1850,112.17990622960014,59.88369101554235,127.1628397423465,0.7782331202260039,0.059222230353530844,0.6051373852286613,0.22064370114041398,0.22064370114041398,,,,
1900,114.71315335316277,60.09434353533742,129.50072462028115,0.7846609495549335,0.05066494247125263,0.5861824085913991,0.20177434709188607,0.20177434709188607,,,,
1950,117.14156659431949,60.5474590778022,131.86410210878836,0.7891669551569311,0.04856826482313437,0.5965258736479296,0.18460143984253816,0.18460143984253816,,,,
2000,119.01862623524529,61.07187136474976,133.77296760904358,0.7915769568592471,0.03754119281851615,0.5698582618668717,0.16361385291448674,0.16361385291448674,0.189,0.744,2.0634815752506257,2.7322619664669037
2100,122.54989418452988,61.91050592896757,137.30035436599144,0.796677523963873,0.03531267949284583,0.4065751061536311,0.13488487447793474,0.13488487447793474,,,,
