step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,update_cos_vb,update_abs_cos_vb,probe_ood_acc,probe_in_acc,val_loss,train_loss
1,0.0,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,10.803781270980835,32.42486763000488
200,1.112551089670766,5.943309339160778,6.046544122758756,0.03385520704898082,0.005590708993320432,0.029865876076184815,None,None,0.0,0.0165,4.250631856918335,20.54322147129768
400,5.096294621987562,13.77580694097558,14.688263197202078,0.12038383162988842,0.01991871766158398,0.05843759120880329,0.3226276607561795,0.3226276607561795,0.076,0.1235,3.1141649723052978,11.76870897769928
600,11.707387656897797,22.377139627470296,25.25468874601217,0.21489977327160667,0.03305546517455118,0.08154345631573451,0.37567882459883517,0.37567882459883517,0.103,0.144,2.7425344944000245,10.191183357238769
650,14.903831322011417,25.08028632762061,29.174388602891185,0.2609710460985223,0.0639288733022724,0.25376901284651865,None,None,,,,
700,18.412007520095827,27.308004377647624,32.935226187352356,0.3125222817528924,0.07016352396168819,0.2520439367246241,None,None,,,,
750,22.074052639808386,29.449052518949262,36.80367500958548,0.3597342375917099,0.07324090239425118,0.25411324978963645,None,None,,,,
800,25.521188816506204,31.457501873597145,40.50809181802933,0.3969339352698849,0.06894272353395635,0.2522836047606795,0.46759054591132626,0.46759054591132626,0.939,0.9815,2.4645340204238892,5.426734779477119
850,28.743856566918915,32.901280394214375,43.68871183636726,0.4328641259333633,0.06445335500825422,0.24363395635703994,0.4708726225952176,0.4708726225952176,,,,
900,32.00088883839449,33.83848244488138,46.573595315613154,0.47211147020327016,0.06514064542951147,0.2346027445443487,0.47798189767472177,0.47798189767472177,,,,
950,35.508127562968255,34.27341688252867,49.350726720434444,0.5176884053421963,0.07014477449147534,0.2326575120439388,0.48177629640502784,0.48177629640502784,,,,
1000,39.119557387531216,34.95378220825463,52.460524786375444,0.5560612137456447,0.07222859649125922,0.25282267476537634,0.47321398142657883,0.47321398142657883,0.6945,0.917,2.012866908311844,2.5313870626688004
1050,43.00913558227631,35.59436780599116,55.827813525571536,0.5934992706065652,0.07779156389490183,0.26363828639288783,0.47082703447433266,0.47082703447433266,,,,
1100,46.77781310424449,36.234762179747555,59.17027791925839,0.6249893407490386,0.07537355043936358,0.27782810513335593,0.4663041293838048,0.4663041293838048,,,,
1150,50.4754029562277,36.998181565898754,62.5829988317956,0.6504993246530825,0.0739517970396642,0.29871065243598066,0.46177078749804606,0.46177078749804606,,,,
1200,54.195518776388724,38.17311114932078,66.2898232782725,0.6683947549439874,0.07440231640322054,0.350036586551071,0.447247856884172,0.447247856884172,0.738,0.916,1.8566471338272095,2.123937177360058
1250,57.93000137066265,39.12966407106516,69.90719325737282,0.6866941475157468,0.07468965188547855,0.3640044554740535,0.42948859456746563,0.42948859456746563,,,,
1300,61.79592327417237,40.08272839027283,73.65705158720472,0.7038676243630828,0.0773184380701943,0.3882474984935104,0.4117345313980145,0.4117345313980145,,,,
1350,65.50010350511695,40.965829969498074,77.25582686293356,0.7188222016704379,0.07408360461889174,0.40208444878547395,0.391644260201661,0.391644260201661,,,,
1400,68.99790129343984,42.038672729344505,80.79579436919109,0.7292799128858012,0.06995595576645769,0.4325231388000508,0.36574170091814284,0.36574170091814284,0.6215,0.8405,1.9182439148426056,2.162237584590912
1450,73.16384206332677,43.06030550913834,84.89486260081341,0.7427286686128083,0.08331881539773861,0.46985512986048733,0.3556803139602216,0.3556803139602216,,,,
1500,77.01197706223223,43.714833024746206,88.5541147401919,0.7563086263235831,0.0769626999781093,0.46882817020468065,0.3421485860552007,0.3421485860552007,,,,
1550,80.86266913815261,44.24519778731244,92.17596643046105,0.7695923564613907,0.07701384151840757,0.4758441881835128,0.3333772441350419,0.3333772441350419,,,,
1600,84.43064444898947,44.266650625613195,95.33136986158769,0.7843836655710871,0.07135950621673715,0.46777775632631086,0.32843981448460563,0.32843981448460563,0.643,0.912,1.785000628232956,2.146635994017124
1650,87.86001228511762,44.709985559810185,98.58176589767032,0.794308723975391,0.06858735672256301,0.49084974358349187,0.30853286498383053,0.30853286498383053,,,,
1700,90.88029440256813,44.810398329314175,101.32719136112578,0.804428485339546,0.06040564234901012,0.46599801278140296,0.2913729940382082,0.2913729940382082,,,,
1750,93.6609117420328,44.6589288736662,103.76312599616578,0.814761817545167,0.05561234678929338,0.45483908910449905,0.2729012883120225,0.2729012883120225,,,,
1800,96.21198089801715,44.626160233704084,106.0577175198986,0.8229505882361443,0.051021383119687014,0.44681895854236814,0.25489062371077603,0.25489062371077603,0.632,0.9315,1.6964747309684753,2.055565705895424
1850,98.46132092889215,45.001606246870736,108.25791557141103,0.8272027967298111,0.04498680061750008,0.46083094549783815,0.23217259905200086,0.23217259905200086,,,,
1900,100.6015029748134,45.45924035767264,110.39567443833457,0.8304334303905652,0.04280364091842501,0.46535779285414774,0.21304262997726867,0.21304262997726867,,,,
1950,102.41093215797406,46.49312432859861,112.47048339589657,0.8291164176475334,0.036188583663213196,0.4729815321477521,0.190262508581168,0.190262508581168,,,,
2000,104.17084184084845,46.666412497193356,114.14603955108755,0.832857406836642,0.03519819365748788,0.4321452251612871,0.17592975620584983,0.17592975620584983,0.6715,0.934,1.652725201845169,2.012847646176815
2100,107.17815102914955,46.773899907532986,116.9399579724437,0.8400142516551841,0.03007309188301093,0.29471122833623953,0.15395411185450164,0.15395411185450164,,,,
2200,109.59595342103285,47.3661428754172,119.39356974797322,0.8426110758960745,0.024178023918832992,0.2788196247315339,0.1334688110072331,0.1334688110072331,0.5525,0.889,1.5399537980556488,1.830371740758419
2300,111.37183336285625,48.08278333868689,121.30803485426928,0.8428913618162365,0.017758799418234047,0.2620436262601991,0.11010712455804941,0.11010712455804941,,,,
