run,best_val_loss,final_val_loss,ppl_final,time_to_val1.8,time_to_val1.6,generalization_gap_final,best_p_ood,step_best_p_ood,AUC_p_ood,final_p_ood,oscillation_amplitude_first2,mean_PC1_0_2k,mean_PC1_0_10k,mean_align_u_0_2k,mean_align_u_0_10k,mean_kappa_0_10k,total_turning,mean_drift_speed_0_2k
pilot_wd0.5_lr0.001_lp2.0_b20.99_s42,1.0359887897968292,1.0359887897968292,2.817891160572623,1097.853012392598,1749.5767598009463,0.0029888731241227706,0.951,1000,0.49375437543754375,0.1785,0.18212680601544562,73.380039260293,74.36270034115091,0.06804645269264084,0.05401823129602476,0.6629265069817981,47.06778199570765,83.08189993522795
pilot_wd0.5_lr0.001_lp2.0_b20.95_s42,1.0622312396764755,1.0622312396764755,2.8928183648855668,1577.4857373325137,2093.508105908794,0.02203819394111628,0.939,800,0.4330383038303831,0.3295,0.13511727500410578,72.75198260249388,74.56553180814441,0.061282957463502236,0.0607693663253542,0.6530107049271032,46.36376004982433,84.69337538650247
pilot_wd0.5_lr0.001_lp2.0_b20.80_s42,1.1825526177883148,1.1825526177883148,3.2626919879163507,2561.6555158593724,3209.98761331816,0.07710059672594083,0.6815,800,0.15977595259525956,0.111,0.04419758255668375,70.35035987437347,74.762961256943,0.04060939365075956,0.06913109610379206,0.6262218945091517,44.461754510149774,98.2720631445466
pilot_wd0.5_lr0.001_lp0.0_b20.95_s42,1.0200454622507096,1.0254178136587142,2.788260190420493,764.4909625514317,1036.551421319856,-0.048517416119575385,0.556,8800,0.2365686568656866,0.3675,0.09292029598476154,70.2119132266517,74.84277437156267,0.09609373084481403,0.036241648230286534,0.7436119045692113,29.74447618276845,108.7431919367596
