step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,probe_ood_acc,probe_in_acc,val_loss,train_loss,lr,cur_lambda
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.807317543029786,32.50584602355957,6.666666666666667e-07,2.0
200,0.6794799877736514,5.654965942119311,5.695641567079044,0.014232068942334284,0.0034144723003701073,0.02841691428200659,0.0,0.0,4.347970569133759,21.486866785653273,0.00013333333333333334,2.0
400,3.102587046135427,13.944985852232936,14.285960828693314,0.04716599925986886,0.012115535291808876,0.05983900136036974,0.0095,0.0455,3.389390158653259,13.084837074279784,0.0002666666666666667,2.0
600,7.27191618485446,24.14326211956215,25.21463604288745,0.083174906567705,0.020846645693595164,0.09004948594690662,0.0415,0.076,2.995232629776001,11.251154950857163,0.00039999999999999996,2.0
800,13.075253101493047,35.278749402712336,37.623827597548626,0.12077422446170395,0.029016684583192936,0.11957192357756755,0.036,0.0915,2.834551763534546,10.695053179264068,0.0005333333333333334,2.0
1000,20.519085418687247,47.3696968345249,51.62287326967834,0.15799074695657686,0.037219161585971,0.15436345868524676,0.069,0.0805,2.7623788356781005,10.59539227604866,0.0006666666666666666,2.0
1200,30.0601856949837,59.79039790940655,66.92164407862663,0.20176698970398155,0.047705501381482274,0.19204520321507396,0.105,0.1255,2.7825218081474303,10.384512782096863,0.0007999999999999999,2.0
1400,42.1833783608682,71.05534325365866,82.63352355331399,0.26059745684107016,0.06061596332942248,0.2295765582989734,0.181,0.251,2.7853065729141235,8.564530992507935,0.0009333333333333334,2.0
1600,55.25164830642992,80.58375679668967,97.70612314513096,0.31977677238227414,0.06534134972780863,0.2454765134457859,0.251,0.3,2.7438910484313963,7.025435243248939,0.0009996585300715115,2.0
1800,67.14225972014256,86.33976559756398,109.37384588545426,0.37684689435632346,0.05945305706856321,0.2436734244775982,0.5225,0.5735,2.687958240509033,5.584643579125404,0.000996929568447637,2.0
2000,77.78494683389306,90.40201212719057,119.26031087750934,0.42540172264703563,0.053213435568752486,0.24645003154995404,0.483,0.6015,2.597483515739441,4.710205691456795,0.000991486549841951,2.0
2200,86.40060707467377,91.97830764212043,126.19458775867581,0.46876170951816504,0.04307830120390357,0.24053037770518237,0.5365,0.698,2.589212203025818,4.392462874650955,0.0009833592021345938,2.0
2400,94.34129807475445,92.5837754255455,132.1818292901472,0.509401452998189,0.03970345500040338,0.24076838008116083,0.586,0.7695,2.498669958114624,3.899225457906723,0.0009725919140804099,2.0
2600,101.15075211060243,91.71317171098697,136.53856787676347,0.54881698804269,0.03404727017923989,0.23342319757387797,0.535,0.7805,2.449481391906738,3.5240481317043306,0.0009592434928729616,2.0
