step,a_t,norm_r_t,norm_delta_t,backbone_frac,a_dot,r_dot,probe_ood_acc,probe_in_acc,val_loss,train_loss,lr,cur_lambda
6400,140.20609382155502,42.69105828340946,146.56150654952978,0.9151534866185643,-0.003244957502872268,0.09756237110761172,0.321,0.878,1.5213791608810425,1.9661507767438888,0.00038103240247869074,4.0
6600,139.43944181193612,42.43423391369894,145.75329204060375,0.9152390166077976,-0.0038332600480944735,0.08840593855267535,0.355,0.8495,1.4862895131111145,1.9303994604945183,0.00034549150281252633,4.0
6800,138.63802412830657,42.440813851908814,144.98870443802,0.9143161310229009,-0.004007088418147759,0.07911297821488451,0.355,0.9245,1.4488042771816254,1.7728517416119576,0.00031079447497884486,4.0
7000,137.79881805449827,42.66628353598943,144.2529930642826,0.9125177459861675,-0.004196030369041494,0.07189783880859625,0.348,0.9085,1.4172769844532014,1.7630581149458886,0.0002771308221117309,4.0
7200,136.90950640980503,43.0809995698914,143.5276470556369,0.9099050575678328,-0.004446558223466184,0.0633772858481742,0.4825,0.9365,1.3965754687786103,1.7941908952593804,0.0002446844034095466,4.0
7400,136.05074288975825,43.574840570008206,142.8585712218742,0.9069622906899487,-0.004293817600233893,0.055682428131882136,0.293,0.838,1.3786514520645141,1.6868804624676705,0.00021363242995974742,4.0
7600,135.22612637699842,44.0948676810259,142.23383075322863,0.9038896246110508,-0.0041230825637991585,0.04782700323944157,0.2965,0.8625,1.3529264211654664,1.5797131651639937,0.0001841444968733746,4.0
7800,134.4587481562175,44.62357419485325,141.67010386694687,0.9007861549656606,-0.003836891103904634,0.042096075449723144,0.2155,0.859,1.3354588806629182,1.5491905280947684,0.00015638165701536866,4.0
8000,133.78095308238233,45.033731151584476,141.1572893939975,0.8982184075835834,-0.003388975369175853,0.03581131580187896,0.1575,0.75,1.3189353346824646,1.5135894307494164,0.0001304955413896705,4.0
8200,133.1763812181905,45.4058262094451,140.70407800822719,0.8958618649989951,-0.0030228593209591283,0.02940606013867274,0.2365,0.8895,1.3037939548492432,1.476707095503807,0.00010662753098325839,4.0
8400,132.62417309233945,45.757742757961616,140.29590981467732,0.8936250998835649,-0.0027610406292552627,0.025527350907059775,0.2145,0.8305,1.2952772080898285,1.474408909380436,0.0001,4.0
8600,132.08693615928422,46.10682539551857,139.9028164548745,0.8913880712195069,-0.00268618466527613,0.024865115722577033,0.182,0.8155,1.2880712181329728,1.4647902712225913,0.0001,4.0
8800,131.55480414574626,46.53565370120505,139.54294521482853,0.8887869201642442,-0.002660660067689804,0.024527155444385284,0.1165,0.7395,1.2845670968294143,1.401034294962883,0.0001,4.0
9000,131.01915378376665,46.9572645799152,139.17975195782844,0.8861708577292485,-0.002678251809898029,0.023888240313963315,0.209,0.8065,1.2781500071287155,1.447377824783325,0.0001,4.0
9200,130.48293646642742,47.40326054939238,138.82674749348897,0.8834076295788061,-0.002681086586696182,0.02380163559615564,0.234,0.872,1.2706207245588304,1.4173534896969795,0.0001,4.0
9400,129.95376732904825,47.8478444182892,138.48248213580538,0.8806190374536519,-0.0026458456868958535,0.023589600810381334,0.175,0.7725,1.267928984761238,1.410321826338768,0.0001,4.0
9600,129.41707938224016,48.307626455296536,138.1390864657299,0.8777079459563673,-0.0026834397340404336,0.02356752099099951,0.1925,0.81,1.2605111241340636,1.3621715685725213,0.0001,4.0
9800,128.8870489558037,48.76464667023795,137.80370877960854,0.8747757753232684,-0.0026501521321823417,0.023512130377715695,0.1275,0.809,1.258991178870201,1.3693936040997505,0.0001,4.0
10000,128.3637770706698,49.20380830410603,137.47099336033992,0.8718922823509134,-0.002616359425669401,0.023381925138829297,0.1965,0.863,1.2522472470998764,1.383119945526123,0.0001,4.0
